Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i181,a,0,0,N
2012,2,i181,a,0,0,N
2012,3,i181,a,0,12,N
2012,3,i181,a,0,12,N
2012,4,i181,a,0,78,N
2012,4,i181,a,0,78,N
2013,1,i181,a,0,209,N
2013,1,i181,a,0,209,N
2013,2,i181,a,0,437,N
2013,2,i181,a,0,437,N
2013,3,i181,a,0,649,N
2013,3,i181,a,0,649,N
2013,4,i181,a,0,1238,N
2013,4,i181,a,0,1238,N
2014,1,i181,a,0,1802,N
2014,1,i181,a,0,1802,N
2014,2,i181,a,0,2443,N
2014,2,i181,a,0,2443,N
2014,3,i181,a,0,2947,N
2014,3,i181,a,0,2947,N
2014,4,i181,a,0,4099,N
2014,4,i181,a,0,4099,N
2015,1,i181,a,0,5159,N
2015,1,i181,a,0,5159,N
2015,2,i181,a,0,6406,N
2015,2,i181,a,0,6406,N
2015,3,i181,a,0,6899,N
2015,3,i181,a,0,6899,N
2015,4,i181,a,0,9297,N
2015,4,i181,a,0,9297,N
2016,1,i181,a,0,11792,N
2016,1,i181,a,0,11792,N
2016,2,i181,a,0,14739,N
2016,2,i181,a,0,14739,N
2016,3,i181,a,0,16893,N
2016,3,i181,a,0,16893,N
2016,4,i181,a,0,22147,N
2016,4,i181,a,0,22147,N
2017,1,i181,a,0,26873,N
2017,1,i181,a,0,26873,N
2017,2,i181,a,0,31130,N
2017,2,i181,a,0,31130,N
