Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i461,a,0,0,N
2012,2,i461,b,0,0,N
2012,2,i461,c,0,0,N
2012,2,i46,a,0,0,N
2012,2,i46,b,0,0,N
2012,2,i46,c,0,0,N
2012,3,i461,a,0,0,N
2012,3,i461,b,0,0,N
2012,3,i461,c,0,0,N
2012,3,i46,a,0,0,N
2012,3,i46,b,0,0,N
2012,3,i46,c,0,0,N
2012,4,i461,a,0,0,N
2012,4,i461,b,0,0,N
2012,4,i461,c,0,0,N
2012,4,i46,a,0,0,N
2012,4,i46,b,0,0,N
2012,4,i46,c,0,0,N
2013,1,i461,a,0,0,N
2013,1,i461,b,0,0,N
2013,1,i461,c,0,0,N
2013,1,i46,a,0,0,N
2013,1,i46,b,0,0,N
2013,1,i46,c,0,0,N
2013,2,i461,a,0,0,N
2013,2,i461,b,0,0,N
2013,2,i461,c,0,0,N
2013,2,i46,a,0,0,N
2013,2,i46,b,0,0,N
2013,2,i46,c,0,0,N
2013,3,i461,a,0,0,N
2013,3,i461,b,0,0,N
2013,3,i461,c,0,0,N
2013,3,i46,a,0,0,N
2013,3,i46,b,0,0,N
2013,3,i46,c,0,0,N
2013,4,i461,a,0,0,N
2013,4,i461,b,0,0,N
2013,4,i461,c,0,0,N
2013,4,i46,a,0,0,N
2013,4,i46,b,0,0,N
2013,4,i46,c,0,0,N
2014,1,i461,a,0,0,N
2014,1,i461,b,0,0,N
2014,1,i461,c,0,0,N
2014,1,i46,a,0,0,N
2014,1,i46,b,0,0,N
2014,1,i46,c,0,0,N
2014,2,i461,a,0,1,N
2014,2,i461,b,0,1,N
2014,2,i461,c,0,0,N
2014,2,i46,a,0,1,N
2014,2,i46,b,0,1,N
2014,2,i46,c,0,0,N
2014,3,i461,a,0,23,N
2014,3,i461,b,0,7,N
2014,3,i461,c,0,16,N
2014,3,i46,a,0,22,N
2014,3,i46,b,0,6,N
2014,3,i46,c,0,16,N
2014,4,i461,a,0,92,N
2014,4,i461,b,0,20,N
2014,4,i461,c,0,69,N
2014,4,i46,a,0,69,N
2014,4,i46,b,0,13,N
2014,4,i46,c,0,53,N
2015,1,i461,a,0,197,N
2015,1,i461,b,0,44,N
2015,1,i461,c,0,150,N
2015,1,i46,a,0,105,N
2015,1,i46,b,0,24,N
2015,1,i46,c,0,81,N
2015,2,i461,a,0,432,N
2015,2,i461,b,0,107,N
2015,2,i461,c,0,322,N
2015,2,i46,a,0,235,N
2015,2,i46,b,0,63,N
2015,2,i46,c,0,172,N
2015,3,i461,a,0,800,N
2015,3,i461,b,0,166,N
2015,3,i461,c,0,631,N
2015,3,i46,a,0,368,N
2015,3,i46,b,0,59,N
2015,3,i46,c,0,309,N
2015,4,i461,a,0,1403,N
2015,4,i461,b,0,303,N
2015,4,i461,c,0,1097,N
2015,4,i46,a,0,603,N
2015,4,i46,b,0,137,N
2015,4,i46,c,0,466,N
2016,1,i461,a,0,1698,N
2016,1,i461,b,0,388,N
2016,1,i461,c,0,1307,N
2016,1,i46,a,0,295,N
2016,1,i46,b,0,85,N
2016,1,i46,c,0,210,N
2016,2,i461,a,0,2147,N
2016,2,i461,b,0,508,N
2016,2,i461,c,0,1636,N
2016,2,i46,a,0,449,N
2016,2,i46,b,0,120,N
2016,2,i46,c,0,329,N
2016,3,i461,a,0,2601,N
2016,3,i461,b,0,649,N
2016,3,i461,c,0,1949,N
2016,3,i46,a,0,454,N
2016,3,i46,b,0,141,N
2016,3,i46,c,0,313,N
2016,4,i461,a,0,3486,N
2016,4,i461,b,0,942,N
2016,4,i461,c,0,2541,N
2016,4,i46,a,0,885,N
2016,4,i46,b,0,293,N
2016,4,i46,c,0,592,N
2017,1,i461,a,0,3881,N
2017,1,i461,b,0,1097,N
2017,1,i461,c,0,2781,N
2017,1,i46,a,0,395,N
2017,1,i46,b,0,155,N
2017,1,i46,c,0,240,N
2017,2,i461,a,0,4426,N
2017,2,i461,b,0,1271,N
2017,2,i461,c,0,3152,N
2017,2,i46,a,0,545,N
2017,2,i46,b,0,174,N
2017,2,i46,c,0,371,N
2017,3,i461,a,0,4426,N
2017,3,i461,b,0,1271,N
2017,3,i461,c,0,3152,N
2017,3,i46,a,0,0,N
2017,3,i46,b,0,0,N
2017,3,i46,c,0,0,N
