Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i16,a,0,0.129,N
2012,2,i16,a,10,0,E
2012,2,i16,a,1,0,E
2012,2,i16,a,11,0,E
2012,2,i16,a,12,0,E
2012,2,i16,a,13,0,E
2012,2,i16,a,14,0,E
2012,2,i16,a,15,0,E
2012,2,i16,a,16,0,E
2012,2,i16,a,17,0,E
2012,2,i16,a,18,0,E
2012,2,i16,a,19,0,E
2012,2,i16,a,20,0,E
2012,2,i16,a,2,0,E
2012,2,i16,a,21,0,E
2012,2,i16,a,22,0,E
2012,2,i16,a,23,0,E
2012,2,i16,a,24,0,E
2012,2,i16,a,25,0,E
2012,2,i16,a,26,0,E
2012,2,i16,a,27,0,E
2012,2,i16,a,28,0,E
2012,2,i16,a,30,0,E
2012,2,i16,a,3,0,E
2012,2,i16,a,31,0,E
2012,2,i16,a,32,0,E
2012,2,i16,a,4,0,E
2012,2,i16,a,5,0,E
2012,2,i16,a,6,0,E
2012,2,i16,a,7,0,E
2012,2,i16,a,8,0,E
2012,2,i16,a,9,0,E
2012,2,i16,b,0,0,N
2012,2,i16,b,10,0,E
2012,2,i16,b,1,0,E
2012,2,i16,b,11,0,E
2012,2,i16,b,12,0,E
2012,2,i16,b,14,0,E
2012,2,i16,b,15,0,E
2012,2,i16,b,16,0,E
2012,2,i16,b,17,0,E
2012,2,i16,b,19,0,E
2012,2,i16,b,2,0,E
2012,2,i16,b,21,0,E
2012,2,i16,b,22,0,E
2012,2,i16,b,23,0,E
2012,2,i16,b,24,0,E
2012,2,i16,b,25,0,E
2012,2,i16,b,26,0,E
2012,2,i16,b,27,0,E
2012,2,i16,b,28,0,E
2012,2,i16,b,30,0,E
2012,2,i16,b,3,0,E
2012,2,i16,b,31,0,E
2012,2,i16,b,32,0,E
2012,2,i16,b,4,0,E
2012,2,i16,b,5,0,E
2012,2,i16,b,7,0,E
2012,2,i16,b,8,0,E
2012,2,i16,b,9,0,E
2012,2,i16,c,0,0.129,N
2012,2,i16,c,1,0,E
2012,2,i16,c,14,0,E
2012,2,i16,c,15,0,E
2012,2,i16,c,17,0,E
2012,2,i16,c,19,0,E
2012,2,i16,c,2,0,E
2012,2,i16,c,21,0,E
2012,2,i16,c,22,0,E
2012,2,i16,c,24,0,E
2012,2,i16,c,25,0,E
2012,2,i16,c,26,0,E
2012,2,i16,c,27,0,E
2012,2,i16,c,30,0,E
2012,2,i16,c,31,0,E
2012,2,i16,c,32,0,E
2012,2,i16,c,9,0,E
2012,2,i16,d,0,0,N
2012,2,i16,d,11,0,E
2012,2,i16,d,12,0,E
2012,2,i16,d,13,0,E
2012,2,i16,d,14,0,E
2012,2,i16,d,15,0,E
2012,2,i16,d,16,0,E
2012,2,i16,d,19,0,E
2012,2,i16,d,20,0,E
2012,2,i16,d,2,0,E
2012,2,i16,d,21,0,E
2012,2,i16,d,22,0,E
2012,2,i16,d,23,0,E
2012,2,i16,d,24,0,E
2012,2,i16,d,25,0,E
2012,2,i16,d,26,0,E
2012,2,i16,d,27,0,E
2012,2,i16,d,31,0,E
2012,2,i16,d,32,0,E
2012,2,i16,d,5,0,E
2012,2,i16,d,6,0,E
2012,2,i16,d,7,0,E
2012,2,i16,d,8,0,E
2012,2,i16,d,9,0,E
2012,2,i16,e,0,0,N
2012,2,i16,e,14,0,E
2012,2,i16,e,15,0,E
2012,2,i16,e,19,0,E
2012,2,i16,e,2,0,E
2012,2,i16,e,27,0,E
2012,2,i16,e,9,0,E
2012,2,i16,f,0,0,N
2012,2,i16,f,14,0,E
2012,2,i16,f,15,0,E
2012,2,i16,f,18,0,E
2012,2,i16,f,19,0,E
2012,2,i16,f,20,0,E
2012,2,i16,f,21,0,E
2012,2,i16,f,22,0,E
2012,2,i16,f,24,0,E
2012,2,i16,f,26,0,E
2012,2,i16,f,27,0,E
2012,2,i16,f,30,0,E
2012,2,i16,f,3,0,E
2012,2,i16,f,31,0,E
2012,2,i16,f,5,0,E
2012,2,i16,f,6,0,E
2012,2,i16,f,7,0,E
2012,2,i16,f,9,0,E
2012,2,i16,g,0,0,N
2012,2,i16,g,14,0,E
2012,2,i16,g,15,0,E
2012,2,i16,g,16,0,E
2012,2,i16,g,17,0,E
2012,2,i16,g,19,0,E
2012,2,i16,g,25,0,E
2012,2,i16,g,26,0,E
2012,2,i16,g,28,0,E
2012,2,i16,g,30,0,E
2012,2,i16,g,8,0,E
2012,2,i16,g,9,0,E
2012,2,i16,h,0,0,N
2012,2,i16,h,14,0,E
2012,2,i16,h,15,0,E
2012,2,i16,h,19,0,E
2012,2,i16,h,22,0,E
2012,2,i16,h,32,0,E
2012,2,i16,h,9,0,E
2012,2,i16,i,0,0,N
2012,2,i16,i,10,0,E
2012,2,i16,i,1,0,E
2012,2,i16,i,11,0,E
2012,2,i16,i,12,0,E
2012,2,i16,i,13,0,E
2012,2,i16,i,14,0,E
2012,2,i16,i,15,0,E
2012,2,i16,i,16,0,E
2012,2,i16,i,17,0,E
2012,2,i16,i,18,0,E
2012,2,i16,i,19,0,E
2012,2,i16,i,20,0,E
2012,2,i16,i,2,0,E
2012,2,i16,i,21,0,E
2012,2,i16,i,22,0,E
2012,2,i16,i,23,0,E
2012,2,i16,i,24,0,E
2012,2,i16,i,25,0,E
2012,2,i16,i,26,0,E
2012,2,i16,i,27,0,E
2012,2,i16,i,28,0,E
2012,2,i16,i,30,0,E
2012,2,i16,i,3,0,E
2012,2,i16,i,31,0,E
