Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i15,a,0,100,N
2012,2,i15,a,10,0,E
2012,2,i15,a,1,0,E
2012,2,i15,a,11,0,E
2012,2,i15,a,12,0,E
2012,2,i15,a,13,0,E
2012,2,i15,a,14,0,E
2012,2,i15,a,15,0,E
2012,2,i15,a,16,0,E
2012,2,i15,a,17,0,E
2012,2,i15,a,18,0,E
2012,2,i15,a,19,0,E
2012,2,i15,a,20,0,E
2012,2,i15,a,2,0,E
2012,2,i15,a,21,0,E
2012,2,i15,a,22,0,E
2012,2,i15,a,23,0,E
2012,2,i15,a,24,0,E
2012,2,i15,a,25,0,E
2012,2,i15,a,26,0,E
2012,2,i15,a,27,0,E
2012,2,i15,a,28,0,E
2012,2,i15,a,30,0,E
2012,2,i15,a,3,0,E
2012,2,i15,a,31,0,E
2012,2,i15,a,32,0,E
2012,2,i15,a,4,0,E
2012,2,i15,a,5,0,E
2012,2,i15,a,6,0,E
2012,2,i15,a,7,0,E
2012,2,i15,a,8,0,E
2012,2,i15,a,9,0,E
2012,2,i15,b,0,0,N
2012,2,i15,b,10,0,E
2012,2,i15,b,1,0,E
2012,2,i15,b,11,0,E
2012,2,i15,b,12,0,E
2012,2,i15,b,14,0,E
2012,2,i15,b,15,0,E
2012,2,i15,b,16,0,E
2012,2,i15,b,17,0,E
2012,2,i15,b,19,0,E
2012,2,i15,b,2,0,E
2012,2,i15,b,21,0,E
2012,2,i15,b,22,0,E
2012,2,i15,b,23,0,E
2012,2,i15,b,24,0,E
2012,2,i15,b,25,0,E
2012,2,i15,b,26,0,E
2012,2,i15,b,27,0,E
2012,2,i15,b,28,0,E
2012,2,i15,b,30,0,E
2012,2,i15,b,3,0,E
2012,2,i15,b,31,0,E
2012,2,i15,b,32,0,E
2012,2,i15,b,4,0,E
2012,2,i15,b,5,0,E
2012,2,i15,b,7,0,E
2012,2,i15,b,8,0,E
2012,2,i15,b,9,0,E
2012,2,i15,c,0,100,N
2012,2,i15,c,1,0,E
2012,2,i15,c,14,0,E
2012,2,i15,c,15,0,E
2012,2,i15,c,17,0,E
2012,2,i15,c,19,0,E
2012,2,i15,c,2,0,E
2012,2,i15,c,21,0,E
2012,2,i15,c,22,0,E
2012,2,i15,c,24,0,E
2012,2,i15,c,25,0,E
2012,2,i15,c,26,0,E
2012,2,i15,c,27,0,E
2012,2,i15,c,30,0,E
2012,2,i15,c,31,0,E
2012,2,i15,c,32,0,E
2012,2,i15,c,9,0,E
2012,2,i15,d,0,0,N
2012,2,i15,d,11,0,E
2012,2,i15,d,12,0,E
2012,2,i15,d,13,0,E
2012,2,i15,d,14,0,E
2012,2,i15,d,15,0,E
2012,2,i15,d,16,0,E
2012,2,i15,d,19,0,E
2012,2,i15,d,20,0,E
2012,2,i15,d,2,0,E
2012,2,i15,d,21,0,E
2012,2,i15,d,22,0,E
2012,2,i15,d,23,0,E
2012,2,i15,d,24,0,E
2012,2,i15,d,25,0,E
2012,2,i15,d,26,0,E
2012,2,i15,d,27,0,E
2012,2,i15,d,31,0,E
2012,2,i15,d,32,0,E
